crime,location,date,sex,victim_ethnicity,victim_age,time,weather,latitude,longitude,holiday_name,is_holiday,land_use_type,gn_division,gn_pcode,gn_population,gn_distance_m,victim_ethnicity ,status_report
drugs,pattiyakale watte,2023-02-06,m,sinhala,17,15:20:00,Rainy,7.291359932,80.6343797,Non-Holiday,0,General Urban,Bogambara,LK2130145,2198,449.5,sinhala,Valid
vehicle theft,ogastawatte,2023-02-09,m,sinhala,19,06:59:00,Cloudy,7.290166009,80.63191055,Non-Holiday,0,General Urban,Bogambara,LK2130145,2198,310.6,sinhala,Valid
robbery,municipal indoor sports complex,2023-02-09,f,muslim,34,15:09:00,Cloudy,7.283700255,80.62351495,Non-Holiday,0,Commercial,Katukele West,LK2130105,8913,238.0,muslim,Valid
drugs,highschool,2023-02-10,m,sinhala,29,03:25:00,Cloudy,7.290488217,80.6348358,Non-Holiday,0,General Urban,Bogambara,LK2130145,2198,384.9,sinhala,Valid
vehicle theft,goerge.e.silva lane,2023-02-11,m,sinhala,22,15:27:00,Cloudy,7.2911312,80.63228517,Non-Holiday,0,General Urban,Ihala Katukele,LK2130115,6925,297.9,sinhala,Valid
vehicle theft,wagolla lewella,2023-02-12,foreign couple,sinhala,78,14:26:00,Cloudy,7.302598332,80.6473875,Non-Holiday,0,General Urban,Lewella,LK2130125,11008,220.6,sinhala,Valid
theft,hanthane,2023-02-13,m,muslim,19,08:42:00,Cloudy,7.268944367,80.63396638,Non-Holiday,0,General Urban,Hanthana Pedesa,LK2130220,5949,529.6,muslim,Valid
theft,bogambara,2023-02-13,m,sinhala,53,19:39:00,Cloudy,7.285445394,80.63658005,Non-Holiday,0,General Urban,Bogambara,LK2130145,2198,464.5,sinhala,Valid
theft,rajapihilla road,2023-02-14,f,sinhala,34,11:59:00,Cloudy,7.288219211,80.64187191,Non-Holiday,0,General Urban,Boowelikada,LK2130135,2310,657.7,sinhala,Valid
robbery,colombo street,2023-02-14,m,sinhala,41,13:09:00,Cloudy,7.296281068,80.63550859,Non-Holiday,0,General Urban,Mahanuwara,LK2130120,11613,74.8,sinhala,Valid
burglary,central market,2023-02-15,m,sinhala,33,02:39:00,Cloudy,7.291598748,80.63352416,Non-Holiday,0,Commercial,Ihala Katukele,LK2130115,6925,368.4,sinhala,Valid
robbery,kandy hospital,2023-02-15,f,sinhala,40,14:27:00,Cloudy,7.286323259,80.63149038,Non-Holiday,0,Residential,Bogambara,LK2130145,2198,213.1,sinhala,Valid
theft,train station,2023-02-16,f,sinhala,66,12:11:00,Cloudy,7.290030795,80.63266875,Non-Holiday,0,General Urban,Bogambara,LK2130145,2198,275.2,sinhala,Valid
theft,poornawatte,2023-02-16,m,sinhala,48,21:43:00,Cloudy,7.310224544,80.63109746,Non-Holiday,0,General Urban,Pitakanda Gama,LK2130015,16716,284.5,sinhala,Valid
drugs,kandy hospital,2023-02-17,m,sinhala,45,09:15:00,Cloudy,7.287889645,80.63191724,Non-Holiday,0,Residential,Bogambara,LK2130145,2198,119.8,sinhala,Valid
stabbing,dharmasena lane,2023-02-17,f,sinhala,40,18:21:00,Cloudy,7.268874948,80.59046807,Non-Holiday,0,General Urban,Uda Eriyagama East,LK2136420,19822,311.6,sinhala,Valid
vehicle theft,watapuluwa prithi mawatha,2023-02-18,f,sinhala,39,09:57:00,Rainy,7.315320679,80.64478124,Maha Sivarathri Day,1,General Urban,Watapuluwa South,LK2130045,21491,532.6,sinhala,Valid
theft,nagasthanne,2023-02-19,m,muslim,64,14:19:00,Rainy,7.282502597,80.63442568,Non-Holiday,0,General Urban,Nagasthenna,LK2130155,13921,541.0,muslim,Valid
stabbing,municipal indoor sports complex,2023-02-19,f,sinhala,31,16:26:00,Rainy,7.283771107,80.62656466,Non-Holiday,0,Commercial,Suduhumpala East,LK2130160,18807,191.6,sinhala,Valid
burglary,dharmasena lane,2023-02-20,f,tamil,50,19:59:00,Rainy,7.269348771,80.59087704,Non-Holiday,0,General Urban,Uda Eriyagama East,LK2136420,19822,365.2,tamil,Valid
robbery,pathanawatte heerassagala,2023-02-21,m,sinhala,30,15:34:00,Rainy,7.260812903,80.61772465,Non-Holiday,0,General Urban,Bowalawatta,LK2130300,2441,178.9,sinhala,Valid
burglary,suduhumpola,2023-02-22,m,sinhala,60,13:11:00,Cloudy,7.281175222,80.62654973,Non-Holiday,0,General Urban,Suduhumpala East,LK2130160,18807,171.1,sinhala,Valid
stabbing,bus stand,2023-02-22,m,sinhala,43,14:29:00,Cloudy,7.302988534,80.63578861,Non-Holiday,0,Commercial,Mahaiyawa,LK2130065,11543,65.0,sinhala,Valid
stabbing,lewella bangalaawatte,2023-02-23,m,sinhala,26,09:06:00,Cloudy,7.297569901,80.65202694,Non-Holiday,0,General Urban,Thalwatta,LK2130130,19105,302.6,sinhala,Valid
theft,gatambe junction,2023-02-26,m,muslim,57,13:54:00,Cloudy,7.272087902,80.60551894,Non-Holiday,0,Commercial,Bowala,LK2130205,2430,806.5,muslim,Valid
theft,watapuluwa,2023-02-27,m,sinhala,58,15:37:00,Rainy,7.317904908,80.64383153,Non-Holiday,0,General Urban,Mahaweli Uyana,LK2130040,11727,300.7,sinhala,Valid
vehicle theft,hanthane road,2023-03-01,f,tamil,70,21:29:00,Rainy,7.285165682,80.63376987,Non-Holiday,0,General Urban,Bogambara,LK2130145,2198,282.3,tamil,Valid
burglary,kotugodalla road,2023-03-02,m,sinhala,53,01:50:00,Cloudy,7.295648102,80.6374325,Non-Holiday,0,General Urban,Mahanuwara,LK2130120,11613,161.9,sinhala,Valid
robbery,dharmapala road lewella,2023-03-02,f,tamil,53,02:21:00,Cloudy,7.298782678,80.65058694,Non-Holiday,0,General Urban,Thalwatta,LK2130130,19105,384.7,tamil,Valid
burglary,bus stand,2023-03-04,m,sinhala,47,05:51:00,Rainy,7.291359401,80.63314457,Non-Holiday,0,Commercial,Ihala Katukele,LK2130115,6925,348.1,sinhala,Valid
robbery,buwelikada,2023-03-04,m,muslim,24,09:02:00,Rainy,7.299500606,80.65204202,Non-Holiday,0,Commercial,Thalwatta,LK2130130,19105,495.4,muslim,Valid
burglary,bus stand,2023-03-04,f,sinhala,52,21:48:00,Rainy,7.299615873,80.6355495,Non-Holiday,0,Commercial,Mahanuwara,LK2130120,11613,364.1,sinhala,Valid
burglary,dalada maligawa,2023-03-05,m,sinhala,25,10:28:00,Rainy,7.295357411,80.64279516,Non-Holiday,0,Commercial,Boowelikada,LK2130135,2310,193.4,sinhala,Valid
burglary,watapuluwa,2023-03-08,m,sinhala,68,21:57:00,Rainy,7.3185206,80.64351739,Non-Holiday,0,General Urban,Mahaweli Uyana,LK2130040,11727,241.4,sinhala,Valid
burglary,peradeniya town,2023-03-09,m,sinhala,56,16:05:00,Cloudy,7.271777708,80.59195013,Non-Holiday,0,General Urban,Getambe,LK2130180,5235,221.5,sinhala,Valid
drugs,bus stand,2023-03-10,m,sinhala,52,08:35:00,Rainy,7.256392631,80.5894297,Non-Holiday,0,Commercial,Godagandeniya,LK2130190,5339,436.3,sinhala,Valid
stabbing,dutugamunu mawatha,2023-03-11,f,tamil,35,02:10:00,Rainy,7.31560958,80.64608129,Non-Holiday,0,General Urban,Pallegunnepana South,LK2127170,15563,411.1,tamil,Valid
burglary,kotugodalla road,2023-03-13,f,sinhala,42,07:23:00,Rainy,7.295885463,80.63537709,Non-Holiday,0,General Urban,Mahanuwara,LK2130120,11613,105.1,sinhala,Valid
theft,kotugodalla road,2023-03-13,m,sinhala,40,11:26:00,Rainy,7.297972471,80.63698092,Non-Holiday,0,General Urban,Mahanuwara,LK2130120,11613,196.0,sinhala,Valid
theft,peradeniya road,2023-03-13,m,sinhala,35,19:27:00,Rainy,7.283130101,80.62191664,Non-Holiday,0,General Urban,Katukele West,LK2130105,8913,235.0,sinhala,Valid
burglary,thannekumbura,2023-03-14,m,sinhala,39,05:22:00,Rainy,7.282749518,80.66378802,Non-Holiday,0,General Urban,Thennakumbura,LK2130240,19383,446.4,sinhala,Valid
theft,ogastawatte,2023-03-14,m,muslim,24,18:33:00,Rainy,7.290003286,80.63455109,Non-Holiday,0,General Urban,Bogambara,LK2130145,2198,322.5,muslim,Valid
robbery,william gopallawa lane,2023-03-15,m,sinhala,37,17:10:00,Rainy,7.290928966,80.63246803,Non-Holiday,0,General Urban,Ihala Katukele,LK2130115,6925,328.0,sinhala,Valid
stabbing,mapanawathura,2023-03-17,m,sinhala,54,00:07:00,Cloudy,7.300295486,80.62790159,Non-Holiday,0,General Urban,Asgiriya,LK2130085,1314,138.4,sinhala,Valid
theft,ampitiya town,2023-03-19,foreign couple,sinhala,19,03:51:00,Rainy,7.273842807,80.65944932,Non-Holiday,0,General Urban,Ampitiya Pallegama,LK2130245,928,465.6,sinhala,Valid
robbery,mapanawathura,2023-03-20,m,sinhala,58,14:06:00,Rainy,7.30169879,80.62612691,Non-Holiday,0,General Urban,Asgiriya,LK2130085,1314,386.6,sinhala,Valid
stabbing,udabowala,2023-03-21,m,tamil,28,08:29:00,Rainy,7.264452123,80.6158519,Non-Holiday,0,General Urban,Uda Bowala,LK2130200,19819,360.2,tamil,Valid
stabbing,dalada street,2023-03-22,f,muslim,41,18:26:00,Rainy,7.293408155,80.64069786,Non-Holiday,0,Commercial,Boowelikada,LK2130135,2310,332.6,muslim,Valid
theft,post office,2023-03-23,m,muslim,45,22:18:00,Rainy,7.290743574,80.63114656,Non-Holiday,0,Commercial,Ihala Katukele,LK2130115,6925,283.9,muslim,Valid
burglary,suduhumpola,2023-03-24,m,sinhala,36,13:14:00,Cloudy,7.280813797,80.62427075,Non-Holiday,0,General Urban,Suduhumpala West,LK2130165,18808,175.2,sinhala,Valid
drugs,people's bank,2023-03-25,m,sinhala,25,10:20:00,Cloudy,7.290980011,80.63462664,Non-Holiday,0,General Urban,Bogambara,LK2130145,2198,421.3,sinhala,Valid
theft,police station,2023-03-26,m,sinhala,52,05:07:00,Rainy,7.293273759,80.63459068,Non-Holiday,0,Commercial,Mahanuwara,LK2130120,11613,389.2,sinhala,Valid
burglary,new queens hotel,2023-03-26,m,sinhala,42,13:43:00,Rainy,7.292301954,80.6383896,Non-Holiday,0,Commercial,Mahanuwara,LK2130120,11613,517.0,sinhala,Valid
theft,mada bowala angampitiya,2023-03-27,m,sinhala,29,11:10:00,Rainy,7.271431818,80.61223263,Non-Holiday,0,General Urban,Bowala,LK2130205,2430,65.4,sinhala,Valid
robbery,hanthane,2023-03-27,m,sinhala,35,15:04:00,Rainy,7.267356565,80.63387777,Non-Holiday,0,General Urban,Hanthana Pedesa,LK2130220,5949,703.6,sinhala,Valid
robbery,watapuluwa,2023-03-29,m,sinhala,27,15:01:00,Rainy,7.316703147,80.64396951,Non-Holiday,0,General Urban,Mahaweli Uyana,LK2130040,11727,393.7,sinhala,Valid
stabbing,kingswood,2023-03-29,f,sinhala,45,15:11:00,Rainy,7.27839512,80.61581318,Non-Holiday,0,Commercial,Welata,LK2130170,21826,167.6,sinhala,Valid
robbery,highschool,2023-03-29,m,sinhala,66,17:49:00,Rainy,7.289361783,80.63399077,Non-Holiday,0,General Urban,Bogambara,LK2130145,2198,229.4,sinhala,Valid
theft,katugasthota road,2023-03-29,f,sinhala,35,22:18:00,Rainy,7.314677896,80.63400831,Non-Holiday,0,General Urban,Pitakanda Gama,LK2130015,16716,305.9,sinhala,Valid
burglary,walespark,2023-03-30,f,sinhala,44,10:46:00,Rainy,7.288947212,80.63815992,Non-Holiday,0,Commercial,Bogambara,LK2130145,2198,594.0,sinhala,Valid
theft,mahaiyawa,2023-03-30,m,sinhala,32,19:28:00,Rainy,7.304498176,80.6343069,Non-Holiday,0,General Urban,Mahaiyawa,LK2130065,11543,177.1,sinhala,Valid
vehicle theft,asgiriya stadium,2023-03-31,m,tamil,19,02:37:00,Rainy,7.2978629,80.63259846,Non-Holiday,0,Commercial,Mahanuwara,LK2130120,11613,426.8,tamil,Valid
vehicle theft,bus stand,2023-04-01,f,sinhala,44,12:43:00,Rainy,7.300275921,80.63775305,Non-Holiday,0,Commercial,Mahaiyawa,LK2130065,11543,434.3,sinhala,Valid
theft,lady golden road,2023-04-01,m,muslim,25,18:58:00,Rainy,7.289279776,80.63462081,Non-Holiday,0,Commercial,Bogambara,LK2130145,2198,264.1,muslim,Valid
burglary,mahaiyawa cemetery,2023-04-02,m,sinhala,41,16:13:00,Rainy,7.304010227,80.63460645,Independence Day,1,General Urban,Mahaiyawa,LK2130065,11543,120.3,sinhala,Valid
drugs,bus stand,2023-04-04,f,sinhala,32,14:42:00,Rainy,7.290669592,80.63532027,Non-Holiday,0,Commercial,Bogambara,LK2130145,2198,432.0,sinhala,Valid
stabbing,lake house hotel,2023-04-05,m,muslim,49,15:10:00,Rainy,7.26804887,80.59642883,Non-Holiday,0,General Urban,Getambe,LK2130180,5235,525.2,muslim,Valid
burglary,municipal indoor sports complex,2023-04-06,m,sinhala,50,16:48:00,Rainy,7.286757377,80.6269481,Non-Holiday,0,Commercial,Deiyannewela,LK2130150,3143,306.9,sinhala,Valid
stabbing,people's bank,2023-04-06,m,sinhala,48,19:25:00,Rainy,7.289645397,80.63321255,Non-Holiday,0,General Urban,Bogambara,LK2130145,2198,232.2,sinhala,Valid
stabbing,municipal indoor sports complex,2023-04-06,f,sinhala,38,20:06:00,Rainy,7.285908497,80.62638814,Non-Holiday,0,Commercial,Suduhumpala East,LK2130160,18807,404.6,sinhala,Valid
robbery,goerge.e. silva lane,2023-04-07,m,sinhala,26,11:21:00,Cloudy,7.288763165,80.63204172,Non-Holiday,0,General Urban,Bogambara,LK2130145,2198,166.4,sinhala,Valid
stabbing,goerge.e.silva lane,2023-04-07,m,sinhala,37,15:58:00,Cloudy,7.290002251,80.63184977,Non-Holiday,0,General Urban,Bogambara,LK2130145,2198,296.4,sinhala,Valid
stabbing,pathanawatte heerassagala,2023-04-07,m,muslim,33,18:05:00,Cloudy,7.262443226,80.61771403,Non-Holiday,0,General Urban,Bowalawatta,LK2130300,2441,359.5,muslim,Valid
burglary,bus stand,2023-04-07,f,sinhala,63,19:16:00,Cloudy,7.254342849,80.59121789,Non-Holiday,0,Commercial,Penideniya,LK2139135,16411,472.9,sinhala,Valid
stabbing,wewathanne road,2023-04-08,f,sinhala,29,11:16:00,Rainy,7.169731206,80.59518559,Non-Holiday,0,Commercial,Wewathenna,LK2142095,22268,661.5,sinhala,Valid
burglary,hewaheta,2023-04-09,m,tamil,53,04:05:00,Rainy,7.110090374,80.76136293,Non-Holiday,0,General Urban,Kotagepitiya,LK2148125,10224,6981.7,tamil,Valid
robbery,hanthane kadurata malshalawa,2023-04-10,f,sinhala,15,17:28:00,Rainy,7.289249498,80.63137426,Non-Holiday,0,Commercial,Bogambara,LK2130145,2198,255.3,sinhala,Valid
robbery,hewaheta,2023-04-11,m,sinhala,43,12:59:00,Cloudy,7.110836652,80.76199839,Non-Holiday,0,General Urban,Kotagepitiya,LK2148125,10224,6933.1,sinhala,Valid
drugs,dalada maligawa,2023-04-11,f,sinhala,41,18:31:00,Cloudy,7.294687774,80.64298318,Non-Holiday,0,Commercial,Boowelikada,LK2130135,2310,120.3,sinhala,Valid
theft,hanthane kadurata malshalawa,2023-04-12,f,sinhala,60,21:46:00,Rainy,7.286901112,80.63457567,Non-Holiday,0,Commercial,Bogambara,LK2130145,2198,193.7,sinhala,Valid
stabbing,hanthane,2023-04-12,f,sinhala,38,21:51:00,Rainy,7.266320362,80.63521997,Non-Holiday,0,General Urban,Hanthana Pedesa,LK2130220,5949,803.7,sinhala,Valid
stabbing,yatinuwara lane,2023-04-16,m,sinhala,22,17:49:00,Rainy,7.294451489,80.63635124,Non-Holiday,0,General Urban,Mahanuwara,LK2130120,11613,217.6,sinhala,Valid
drugs,colombo street,2023-04-17,m,sinhala,23,12:32:00,Cloudy,7.295182693,80.63586683,Non-Holiday,0,General Urban,Mahanuwara,LK2130120,11613,139.7,sinhala,Valid
stabbing,heerassagala,2023-04-18,m,sinhala,51,21:52:00,Cloudy,7.260562157,80.61741796,Non-Holiday,0,General Urban,Bowalawatta,LK2130300,2441,160.2,sinhala,Valid
drugs,rajapihilla road,2023-04-19,m,tamil,30,09:53:00,Rainy,7.288385263,80.6419505,Non-Holiday,0,General Urban,Boowelikada,LK2130135,2310,637.4,tamil,Valid
drugs,ampitiya town,2023-04-20,f,sinhala,31,13:18:00,Rainy,7.272910005,80.65846059,Non-Holiday,0,General Urban,Ampitiya Pallegama,LK2130245,928,579.7,sinhala,Valid
theft,hanthane kadurata malshalawa,2023-04-21,m,sinhala,17,06:24:00,Rainy,7.289438057,80.63298486,Non-Holiday,0,Commercial,Bogambara,LK2130145,2198,207.5,sinhala,Valid
drugs,bogambara,2023-04-23,f,sinhala,41,09:09:00,Rainy,7.287928414,80.63433532,Non-Holiday,0,General Urban,Bogambara,LK2130145,2198,157.2,sinhala,Valid
theft,lewella gangaramaya,2023-04-23,m,muslim,59,14:02:00,Rainy,7.295852859,80.65194313,Non-Holiday,0,Commercial,Thalwatta,LK2130130,19105,172.1,muslim,Valid
theft,bogambara,2023-04-23,f,sinhala,25,16:27:00,Rainy,7.287832679,80.63465849,Non-Holiday,0,General Urban,Bogambara,LK2130145,2198,190.0,sinhala,Valid
vehicle theft,yatinuwara street,2023-04-27,m,sinhala,39,03:05:00,Rainy,7.294374584,80.6361998,Non-Holiday,0,General Urban,Mahanuwara,LK2130120,11613,225.3,sinhala,Valid
vehicle theft,kotugodalla road,2023-04-28,m,muslim,15,07:25:00,Rainy,7.297215745,80.63789538,Non-Holiday,0,General Urban,Mahanuwara,LK2130120,11613,210.1,muslim,Valid
vehicle theft,mada bowala angampitiya,2023-04-28,m,sinhala,42,10:13:00,Rainy,7.272678457,80.61253205,Non-Holiday,0,General Urban,Bowala,LK2130205,2430,167.2,sinhala,Valid
burglary,dalada street,2023-04-29,m,sinhala,61,12:55:00,Rainy,7.293823506,80.64330854,Non-Holiday,0,Commercial,Boowelikada,LK2130135,2310,41.1,sinhala,Valid
drugs,amaya hotel,2023-04-29,f,tamil,35,18:17:00,Rainy,7.273315583,80.61297697,Non-Holiday,0,Commercial,Bowala,LK2130205,2430,236.9,tamil,Valid
robbery,ampitiya,2023-04-29,f,tamil,36,18:35:00,Rainy,7.282567989,80.64974708,Non-Holiday,0,General Urban,Ampitiya North,LK2130230,926,300.1,tamil,Valid
drugs,asgiriya stadium,2023-04-29,m,sinhala,41,19:21:00,Rainy,7.297802229,80.63380619,Non-Holiday,0,Commercial,Mahanuwara,LK2130120,11613,304.4,sinhala,Valid
drugs,kotugodalla road,2023-04-29,m,sinhala,21,19:33:00,Rainy,7.297927622,80.63534677,Non-Holiday,0,General Urban,Mahanuwara,LK2130120,11613,192.9,sinhala,Valid
robbery,bus stand,2023-05-01,m,sinhala,29,18:46:00,Rainy,7.256592939,80.58998493,Non-Holiday,0,Commercial,Godagandeniya,LK2130190,5339,488.6,sinhala,Valid
robbery,watapuluwa,2023-05-01,m,sinhala,23,22:44:00,Rainy,7.316151729,80.64349568,Non-Holiday,0,General Urban,Mahaweli Uyana,LK2130040,11727,407.9,sinhala,Valid
burglary,ampitiya town,2023-05-02,m,sinhala,20,08:28:00,Rainy,7.274542475,80.66159927,Nawam Full Moon Poya Day,1,General Urban,Ampitiya Pallegama,LK2130245,928,249.3,sinhala,Valid
drugs,hanthane road,2023-05-02,m,sinhala,42,14:00:00,Rainy,7.283767607,80.63308583,Nawam Full Moon Poya Day,1,General Urban,Bogambara,LK2130145,2198,423.3,sinhala,Valid
theft,mahaiyawa,2023-05-03,m,sinhala,51,14:11:00,Rainy,7.305700198,80.63233505,Non-Holiday,0,General Urban,Poorna Watta East,LK2130075,17005,163.2,sinhala,Valid
stabbing,apiit campus,2023-05-04,m,sinhala,34,15:29:00,Rainy,7.281638357,80.61943589,Bak Full Moon Poya Day,1,Commercial,Suduhumpala West,LK2130165,18808,369.2,sinhala,Valid
robbery,police station,2023-05-06,f,tamil,34,13:59:00,Rainy,7.294366666,80.63460719,Non-Holiday,0,Commercial,Mahanuwara,LK2130120,11613,284.8,tamil,Valid
theft,post office,2023-05-06,f,sinhala,32,14:00:00,Rainy,7.291786742,80.63369811,Non-Holiday,0,General Urban,Ihala Katukele,LK2130115,6925,375.7,sinhala,Valid
burglary,colombo street,2023-05-07,f,sinhala,34,11:49:00,Rainy,7.295120782,80.63842638,Non-Holiday,0,General Urban,Mahanuwara,LK2130120,11613,286.1,sinhala,Valid
burglary,welikanda,2023-05-07,m,sinhala,36,17:01:00,Rainy,7.307226507,80.63322735,Non-Holiday,0,General Urban,Poorna Watta East,LK2130075,17005,207.0,sinhala,Valid
burglary,bogambara prison,2023-05-10,f,sinhala,32,05:39:00,Rainy,7.291572583,80.63566809,Non-Holiday,0,Commercial,Bogambara,LK2130145,2198,536.0,sinhala,Valid
stabbing,nuwarawela ampitiya,2023-05-10,m,sinhala,32,11:43:00,Rainy,7.284653588,80.64836543,Non-Holiday,0,General Urban,Ampitiya North,LK2130230,926,232.9,sinhala,Valid
drugs,hewaheta road,2023-05-12,m,sinhala,15,05:46:00,Rainy,7.29405389,80.64802555,Non-Holiday,0,General Urban,Thalwatta,LK2130130,19105,305.0,sinhala,Valid
theft,sirimawo bandaranayake lane,2023-05-14,m,sinhala,48,17:47:00,Rainy,7.26615066,80.5984053,Non-Holiday,0,Commercial,Getambe,LK2130180,5235,822.7,sinhala,Valid
vehicle theft,dutugamunu mawatha,2023-05-15,m,sinhala,24,07:13:00,Rainy,7.314122909,80.64754863,Non-Holiday,0,General Urban,Pallegunnepana South,LK2127170,15563,482.3,sinhala,Valid
robbery,gatambe,2023-05-15,f,sinhala,74,11:34:00,Rainy,7.271521828,80.59733291,Non-Holiday,0,General Urban,Getambe,LK2130180,5235,379.6,sinhala,Valid
robbery,kotugodalla street,2023-05-15,m,sinhala,20,15:38:00,Rainy,7.295426217,80.63566202,Non-Holiday,0,General Urban,Mahanuwara,LK2130120,11613,122.3,sinhala,Valid
theft,bus stand,2023-05-17,f,muslim,30,18:00:00,Rainy,7.299516628,80.63648946,Non-Holiday,0,Commercial,Mahanuwara,LK2130120,11613,348.2,muslim,Valid
theft,asgiriya,2023-05-18,m,sinhala,61,11:45:00,Rainy,7.298153803,80.63124312,Non-Holiday,0,General Urban,Asgiriya,LK2130085,1314,301.8,sinhala,Valid
robbery,bus stand,2023-05-18,m,sinhala,35,16:20:00,Rainy,7.29053233,80.63128712,Non-Holiday,0,Commercial,Ihala Katukele,LK2130115,6925,310.2,sinhala,Valid
burglary,dharmapala road lewella,2023-05-20,f,sinhala,32,14:34:00,Rainy,7.297463624,80.65039609,Non-Holiday,0,General Urban,Thalwatta,LK2130130,19105,238.0,sinhala,Valid
stabbing,poornawatte,2023-05-21,m,sinhala,67,11:06:00,Rainy,7.308846782,80.6279432,Non-Holiday,0,General Urban,Mapanawathura,LK2130070,12324,246.3,sinhala,Valid
burglary,aruppala,2023-05-21,m,muslim,42,18:50:00,Rainy,7.307934564,80.64541408,Non-Holiday,0,General Urban,Aruppala East,LK2130050,1293,190.4,muslim,Valid
burglary,d.s senanayake lane,2023-05-22,f,muslim,42,21:15:00,Rainy,7.298629215,80.63649401,Non-Holiday,0,General Urban,Mahanuwara,LK2130120,11613,250.3,muslim,Valid
robbery,katugasthota road,2023-05-23,m,sinhala,47,11:52:00,Rainy,7.311692578,80.63399333,Non-Holiday,0,General Urban,Pitakanda Gama,LK2130015,16716,171.8,sinhala,Valid
burglary,municipal indoor sports complex,2023-05-23,m,sinhala,27,17:50:00,Rainy,7.283980807,80.62564307,Non-Holiday,0,Commercial,Suduhumpala East,LK2130160,18807,180.1,sinhala,Valid
theft,peradeniya road,2023-05-24,f,sinhala,32,07:12:00,Cloudy,7.282190472,80.62210832,Non-Holiday,0,General Urban,Suduhumpala West,LK2130165,18808,164.1,sinhala,Valid
theft,bogambara,2023-05-24,m,sinhala,42,09:41:00,Cloudy,7.28589975,80.63546247,Non-Holiday,0,General Urban,Bogambara,LK2130145,2198,333.3,sinhala,Valid
vehicle theft,kandy city centre,2023-05-25,m,sinhala,31,15:32:00,Rainy,7.293577286,80.63786774,Non-Holiday,0,Commercial,Mahanuwara,LK2130120,11613,365.2,sinhala,Valid
theft,peradeniya road,2023-05-25,m,sinhala,29,17:32:00,Rainy,7.2803138,80.62018042,Non-Holiday,0,General Urban,Suduhumpala West,LK2130165,18808,281.8,sinhala,Valid
burglary,municipal indoor sports complex,2023-05-27,m,sinhala,39,19:25:00,Rainy,7.283957394,80.62630893,Non-Holiday,0,Commercial,Suduhumpala East,LK2130160,18807,195.4,sinhala,Valid
theft,polgolla,2023-05-28,m,sinhala,29,11:39:00,Rainy,7.317293283,80.65407444,Non-Holiday,0,General Urban,Pallegunnepana North,LK2127175,15562,347.6,sinhala,Valid
robbery,bus stand,2023-05-29,f,sinhala,64,12:35:00,Rainy,7.302783001,80.63717685,Non-Holiday,0,Commercial,Mahaiyawa,LK2130065,11543,194.3,sinhala,Valid
burglary,municipal indoor sports complex,2023-05-29,f,sinhala,40,15:13:00,Rainy,7.283163415,80.62444499,Non-Holiday,0,Commercial,Suduhumpala East,LK2130160,18807,152.1,sinhala,Valid
burglary,yatinuwara street,2023-05-30,m,sinhala,37,11:06:00,Rainy,7.29670502,80.63608903,Non-Holiday,0,General Urban,Mahanuwara,LK2130120,11613,35.2,sinhala,Valid
burglary,dharmapala road lewella,2023-05-30,m,sinhala,69,15:10:00,Rainy,7.297622568,80.64983016,Non-Holiday,0,General Urban,Thalwatta,LK2130130,19105,265.2,sinhala,Valid
robbery,katugasthota road,2023-05-30,f,muslim,42,16:26:00,Rainy,7.313511484,80.63387414,Non-Holiday,0,General Urban,Pitakanda Gama,LK2130015,16716,195.1,muslim,Valid
vehicle theft,peradeniya road,2023-05-30,f,sinhala,38,18:19:00,Rainy,7.280933528,80.62046717,Non-Holiday,0,General Urban,Suduhumpala West,LK2130165,18808,244.6,sinhala,Valid
drugs,lake round,2023-06-04,m,sinhala,30,11:19:00,Rainy,7.290241384,80.63374957,Non-Holiday,0,General Urban,Bogambara,LK2130145,2198,309.4,sinhala,Valid
stabbing,dharmasena lane,2023-06-04,m,sinhala,44,18:17:00,Rainy,7.271286266,80.59288098,Non-Holiday,0,General Urban,Getambe,LK2130180,5235,145.6,sinhala,Valid
stabbing,mada bowala angampitiya,2023-06-04,m,sinhala,53,21:10:00,Rainy,7.270034628,80.61243423,Non-Holiday,0,General Urban,Bowala,LK2130205,2430,134.4,sinhala,Valid
burglary,suduhumpola,2023-06-05,m,sinhala,50,10:32:00,Rainy,7.282654024,80.62609733,Day Following Vesak Full Moon Poya Day,1,General Urban,Suduhumpala East,LK2130160,18807,67.2,sinhala,Valid
burglary,dodamwela bridge,2023-06-05,f,sinhala,40,18:07:00,Rainy,7.288814914,80.60825858,Day Following Vesak Full Moon Poya Day,1,General Urban,Haloluwa,LK2133410,5808,481.6,sinhala,Valid
robbery,suduhumpola,2023-06-07,f,sinhala,28,15:17:00,Rainy,7.28224815,80.62681556,Non-Holiday,0,General Urban,Suduhumpala East,LK2130160,18807,138.7,sinhala,Valid
vehicle theft,train station,2023-06-08,m,muslim,55,14:23:00,Rainy,7.290246775,80.63425703,Non-Holiday,0,General Urban,Bogambara,LK2130145,2198,330.2,muslim,Valid
stabbing,lewella bangalaawatte,2023-06-08,m,sinhala,30,16:14:00,Rainy,7.298754596,80.65215302,Non-Holiday,0,General Urban,Thalwatta,LK2130130,19105,423.8,sinhala,Valid
theft,heerassagala,2023-06-08,m,tamil,55,18:27:00,Rainy,7.263734268,80.61767594,Non-Holiday,0,General Urban,Uda Bowala,LK2130200,19819,485.3,tamil,Valid
